run_id,task_id,tier,system_id,interface,attempt,validity,outcome,success,stop_reason,elapsed_seconds,functional_passed,functional_applicable,architecture_passed,architecture_applicable,clarification_requests,accepted_api_actions,api_model_turns,maximum_context_characters,maximum_dropped_turns,native_permission_decisions,input_tokens,output_tokens,required_files_present,required_files_expected,metadata_sha256,result_bundle_sha256,evidence_path
pilot-L1-01-cursor-r01-a05,L1-01,1,cursor,native_ide,5,valid,successful,True,submitted,211.813,2,2,6,6,0,,,,,0,,,13,13,d5956a1c35489cf8030a4d46c2679eebc58355fd57f77b4b28515ceca1ac5fbd,6128de66246dbdc670d0537e188151886b7650db7ab6a015c44798d86950818a,runs/pilot-L1-01-cursor-r01-a05
pilot-L1-01-devin-r01-a02,L1-01,1,devin,native_ide,2,valid,successful,True,submitted,313.015,2,2,6,6,0,,,,,7,,,13,13,1251859fb2e99c9c0f6c40db8c2e112ab0e5318456484ee4cf426b932b6c1b9b,d8bffdec45bc242aae43432f17df8acb3c1d91e7a59f1e8380d30db8f9c70184,runs/pilot-L1-01-devin-r01-a02
pilot-L1-01-gpt-5-4-r01-a01,L1-01,1,gpt-5.4,api_wrapper,1,valid,successful,True,submitted,24.719,2,2,6,6,0,15,8,7023,0,,16100,1408,13,13,b96ad43d3d90cd950db0e1568427a3660792d2b0f94c61958303a5e6f877ad57,431142a3b15f82272420ab6493fe9051a8d35cd122511cd62f89da9268f60d3f,runs/pilot-L1-01-gpt-5-4-r01-a01
pilot-L1-01-qwen2-5-coder-7b-instruct-r01-a03,L1-01,1,qwen2.5-coder-7b-instruct,api_wrapper,3,valid,unsuccessful,False,protocol_no_progress_limit,51.35507,0,2,5,6,0,2,5,3867,0,,6312,396,13,13,d3043b43fd9de5fda86b4f1e5663352ba754b38402e27be25af2ebca3e4b2acf,72f91d8f4479a02ac25221fd3897d8a3d3852de33da37ce65a2a1ee9f281cdf0,runs/pilot-L1-01-qwen2-5-coder-7b-instruct-r01-a03
pilot-L2-02-cursor-r01-a01,L2-02,2,cursor,native_ide,1,valid,successful,True,submitted,325.171,7,7,6,6,0,,,,,0,,,13,13,7ad1364b672ce5ba03cb98471f8fad0a98d093c36f579e904a888bf9e58848db,a62775be79625b37425960a51ef1853db98e783de634ff18475d7c983d81c212,runs/pilot-L2-02-cursor-r01-a01
pilot-L2-02-gpt-5-4-r01-a01,L2-02,2,gpt-5.4,api_wrapper,1,valid,unsuccessful,False,api_action_limit,23.328,4,7,4,6,0,15,7,12872,0,,17650,748,13,13,abe1425016740f76e6f86ab00eb31b0396563d21f6e083debeeba631cb0a6957,aa931719a6cf06558802161ca467a319e498fd26678f6e2b6ee570e22a3253f7,runs/pilot-L2-02-gpt-5-4-r01-a01
pilot-L2-02-qwen2-5-coder-7b-instruct-r01-a01,L2-02,2,qwen2.5-coder-7b-instruct,api_wrapper,1,valid,unsuccessful,False,protocol_no_progress_limit,24.5,4,7,4,6,0,1,4,3706,0,,4824,271,13,13,bfb3f3797d70966ff1561d9708fd252c3de034e18ad811792b93dc9e3203cb81,41b4539391d510295c68c7dd8ec3c0e372c2ee91a753ee73b6624d3e910ed29e,runs/pilot-L2-02-qwen2-5-coder-7b-instruct-r01-a01
pilot-L2-02-devin-r01-a01,L2-02,2,devin,native_ide,1,valid,successful,True,submitted,1516.61,7,7,6,6,1,,,,,33,,,13,13,16f55650b4195d4c00350bb38a2d5b2a357012262a31b698788352cd99d97eb8,0ce8ee010e3b8b94e4f5b828b2a62d6fd7c54b724700dead13a5be433f9c0390,runs/pilot-L2-02-devin-r01-a01
pilot-L3-01-cursor-r01-a01,L3-01,3,cursor,native_ide,1,valid,unsuccessful,False,submitted,209.25,3,4,5,7,0,,,,,0,,,13,13,66814e5bc514648987be489b8fb795eec9dfdd49e11afdc1a569a40de0336dcb,31ca817e1f4dc9772ec9165bcec8c38405f539e8f29a77936217daf4317c561d,runs/pilot-L3-01-cursor-r01-a01
pilot-L3-01-devin-r01-a01,L3-01,3,devin,native_ide,1,valid,unsuccessful,False,submitted,1603.297,4,4,5,7,1,,,,,63,,,13,13,d29c0a374ed97afa2e1fe772388de5991bb4659d458d106ad23ed27468511ce4,c667dbfda005d779bdd940ba733b8b3779f98a7ce4fdec4078ab8de8b6b1fd07,runs/pilot-L3-01-devin-r01-a01
