run_id,metadata_present,selected,validity,outcome,stop_reason
pilot-L1-01-cursor-r01-a01,True,False,valid,successful,submitted
pilot-L1-01-cursor-r01-a02,True,False,invalid,invalidated,infrastructure_failure
pilot-L1-01-cursor-r01-a03,True,False,valid,unsuccessful,submitted
pilot-L1-01-cursor-r01-a04,True,False,pending,prepared,
pilot-L1-01-cursor-r01-a05,True,True,valid,successful,submitted
pilot-L1-01-devin-r01-a01,True,False,valid,successful,submitted
pilot-L1-01-devin-r01-a02,True,True,valid,successful,submitted
pilot-L1-01-gpt-5-4-r01-a01,True,True,valid,successful,submitted
pilot-L1-01-qwen2-5-coder-7b-instruct-r01-a01,True,False,valid,unsuccessful,task_wall_clock_limit
pilot-L1-01-qwen2-5-coder-7b-instruct-r01-a02,True,False,valid,unsuccessful,protocol_no_progress_limit
pilot-L1-01-qwen2-5-coder-7b-instruct-r01-a03,True,True,valid,unsuccessful,protocol_no_progress_limit
pilot-L2-02-cursor-r01-a01,True,True,valid,successful,submitted
pilot-L2-02-devin-r01-a01,True,True,valid,successful,submitted
pilot-L2-02-gpt-5-4-r01-a01,True,True,valid,unsuccessful,api_action_limit
pilot-L2-02-qwen2-5-coder-7b-instruct-r01-a01,True,True,valid,unsuccessful,protocol_no_progress_limit
pilot-L3-01-cursor-r01-a01,True,True,valid,unsuccessful,submitted
pilot-L3-01-devin-r01-a01,True,True,valid,unsuccessful,submitted
pilot-L3-01-gpt-5-4-r01-a01,True,True,valid,unsuccessful,api_action_limit
pilot-L3-01-qwen2-5-coder-7b-instruct-r01-a01,True,False,invalid,invalidated,infrastructure_failure
pilot-L3-01-qwen2-5-coder-7b-instruct-r01-a02,True,True,valid,unsuccessful,protocol_no_progress_limit
pilot-L4-01-cursor-r01-a01,True,False,pending,prepared,
pilot-L4-01-cursor-r01-a02,True,False,valid,unsuccessful,submitted
pilot-L4-01-cursor-r01-a03,True,True,valid,successful,submitted
pilot-L4-01-devin-r01-a01,True,False,valid,successful,submitted
pilot-L4-01-devin-r01-a02,True,True,valid,successful,submitted
pilot-L4-01-gpt-5-4-r01-a01,True,True,valid,unsuccessful,api_action_limit
pilot-L4-01-qwen2-5-coder-7b-instruct-r01-a01,True,True,valid,unsuccessful,protocol_no_progress_limit
